점포명,주소,전화번호
그린슈퍼,경기도 수원시 장안구 장안로 126번길 14,031-254-2469
우주할인마트,경기 안산시 상록구 구룡로 20 101~103호 우주할인마트,031-406-0696
가족마트,강원도 영월군 북면 마차중앙1길 35-1 .,033-372-2130
나들목 편의점,부산광역시 금정구 금샘로578 1층,
동네가게,"경상남도 창원시 진해구 진해대로1041번길 39 1층 101호(풍호동, 시영상가)",055-546-1666
파워할인마트,대구광역시 달서구 호산동로35북길 89(호산동 371-4) 1층,
선이식품,경기도 용인시 처인구 포곡읍 포곡로294 선이마트,031-332-5266
삼복마트,강원도 원주시 시청로 494(관설동) 현진4차 아파트 상가1층,033-743-7985
선경마트,울산광역시 울주군 온산읍 신온9길59 선경마트,052-237-7789
그린D/C마트,경남 창원시 마산합포구 오동동 132-7 102호,055-242-6663
프라임홈마트,경기 안산시 단원구 선부광장1로 173 안산라프리모단지내 상가 1동 208호,031-401-8797
남해할인마트,부산광역시 중구 흑교로 60번길 6 남해할인마트,051-255-2387
이화마트,부산광역시 동구 초량북로 15 .,051-465-0486
플러스마트,경기도 안산시 상록구 본원로 50 본오동,031-415-3400
모닝마트,안산시 상록구 사동 1199-8 1층,031-417-4940
마마트세류점,경기도 수원시 권선구 세지로4번길 49-1(세류동) 1층 마마트,
경상종합슈퍼,경상북도 김천시 모암길 12(모암동) 경상종합슈퍼,054-433-7154
제일할인마트,경상남도 창원시 마산회원구 회원동12길 68(회원동) 제일할인마트,055-221-1373
유투편의점,광주광역시 광산구 어등대로 412(선암동) 호남대학교 광산캠퍼스 정문 앞,062-941-8230
한진슈퍼,부산광역시 금정구 청룡예전로 9(청룡동) 한진수퍼,
B2C할인마트 사동점,경기도 안산시 상록구 이화2길 44-1(사동) 비투씨할인마트사동점,070-8246-0864
영암할인마트,전라남도 영암군 삼호읍 대불주거7로14길 6 .,
스마트마켓 모아점,경상남도 김해시 율하1로 90(율하동) 상가 104호,
진성마트,충청북도 제천시 소새로1길 19(왕암동) 1층,043-642-3154
금호마트,광주광역시 서구 풍암중앙로 68(풍암동) 금호타운상가 107,062-681-0120
자이마트,"광주광역시 서구 백석길 22-17(마륵동) 상가동 1층, 104호",062-383-0033
썬마켓,서울특별시 관악구 호암로26길 60(신림동) 1층 지층일부층(신림동),02-871-1330
럭키할인마트,서울특별시 관악구 신림로11길 139(신림동) .,02-885-1330
제일 소비자 유통,서울특별시 관악구 대학14길 28(신림동) .,02-873-7367
소비자할인마트,서울특별시 관악구 서림길 121(신림동) .,02-883-1117
동작할인마트,서울특별시 관악구 서림길 41(신림동) .,02-871-2030
한별마트,전라북도 전주시 덕진구 견훤로 215(인후동1가),070-8833-3559
신마트,경상남도 창원시 의창구 도계로95번길6-22,055-255-8980
싸게파는집,경상남도 창원시 마산합포구 교방서2길 9(교방동) 상록아파트 상가 싸게파는집,055-224-3721
OK할인마트,경상남도 창원시 마산회원구 합성북15길 104(합성동) 1층,055-604-4955
천년마트,"광주광역시 남구 효우로 260(행암동, 효천엘에이치천년나무1단지아파트) 상가동 1층 102호",062-373-7077
신일할인마트,"강원도 원주시 우산공단길 23(우산동) 301동 101,104",033-732-8999
굿마트 오천,경상북도 포항시 남구 오천읍 해병로259번길 21 굿마트 오천,
더블할인마트,경기도 시흥시 신천로100번안길 21(신천동) 101호 더블할인마트,031-404-1133
신창슈퍼,경상남도 창원시 의창구 우곡로15번길 26(명서동) 1층,055-265-3330
한아름마트,경기도 수원시 영통구 동탄원천로915번길 36(매탄동) 상가동 106호,031-217-6622
구공탄,경기도 수원시 팔달구 향교로1번길 20(매산로1가) 1층 127호,031-257-3292
경창나들가게,경상남도 창원시 성산구 상남로 67(상남동) 경창종합상가 1층 15-1호,055-289-8222
미모아 마트,경상북도 포항시 남구 오천읍 냉천로 306 미모아 마트,
동원이네 슈퍼,경기도 수원시 팔달구 월드컵로311번길 12-1(우만동) 1층 동원이네 슈퍼,031-241-8527
장수슈퍼,경상북도 영주시 장수면 반구리 1025,054-637-6066
청하시장마트,경상북도 포항시 북구 청하면 청하로 200 청하시장마트,054-232-3500
금강알뜰마트,"부산광역시 금정구 금샘로229번길29, 102호,104호",051-581-7855
동원마트,"경상남도 김해시 가야로 58(삼계동) 313동 101호 (삼계동,동원로얄듀크상가)",055-311-0089
21세기할인마트,경기도 수원시 팔달구 경수대로680번길 31(우만동) 21세기할인마트,031-258-0649
땅콩슈퍼,경상북도 포항시 북구 흥해읍 달전로5번길 66 땅콩슈퍼,054-261-1917
우리쌀유통,경기도 수원시 팔달구 팔달로107번길 63(화서동) 1층,031-251-4585
푸릇fruit,경기도 광주시 오포읍 수레실길 74 지하1층 B01층 01호,
호수마트,"경기도 수원시 영통구 법조로150번길 19(하동) 103호(하동, 상가)",031-215-0015
두산할인마트,경기도 수원시 영통구 인계로220번길 6-85(매탄동) 두산할인마트,031-211-0411
호산할인마트,인천광역시 미추홀구 인하로411번길 25(관교동) 1층,032-429-8120
봉산쉼터편의점,충청북도 단양군 단성면 월악로 4327 봉산쉼터편의점,043-422-6006
장터할인마트(자연계란),"대전광역시 서구 용소로 50(가수원동) , 1층",042-542-1101
에스마트 월촌휴게소점,경상남도 함안군 군북면 월촌1길 7 에스마트 월촌휴게소점,
현대 클래스 마트,전라남도 목포시 산정로 300(연산동) 102호 103호,070-4147-9833
장터할인마트 자연계란,대전광역시 서구 용소로 49(가수원동) 1층,042-542-1101
터미널슈퍼,전라북도 장수군 산서면 비행로 8 동화리 203-3,063-351-4124
충청할인마트,경기도 시흥시 논곡길 11(논곡동) 1층,
신일마트&축산,경기도 화성시 효행로291번길 26(기안동) 신일해피트리1차 단지내상가 신일마트&축산,031-226-7740
라인슈퍼,전라남도 목포시 원산주택로 23(산정동) 상가 101호,061-273-2661
포유(for you),전라남도 목포시 삼학로231번길 26(산정동) 산정동,
스카이편의점,부산광역시 진구 백양산로 55(부암동) 스카이편의점,051-807-2788
창대할인마트,경기도 부천시 원미구 소사동 18-26 1층,032-202-7765
15시편의점,대구광역시 동구 팔공로 1059(백안동) -,053-984-6644
월드마트,경상남도 창원시 마산합포구 자산북1길 30(자산동) 월드마트,055-248-6142
신바람홈마트,대구광역시달서구조암로6길20 월성푸르지오상가304동101호,053-635-1171
서신로또편의점(대박상사),경기도 화성시 서신면 궁평항로 1646-1 1층,
이조은편의점,경상남도 창원시 성산구 대정로 102(남양동) 상가동 113호,055-000-0000
행복상회,경기도 광명시 가마산로 7(철산동) 1층 행복상회,02-2611-5534
자동차마을매점,울산광역시 북구 진장유통1로 63-8(진장동) 209호(진장동),052-282-0908
