시장코드,시장명,시장 유형,지번주소,도로명주소,시도,시군구,아케이드 보유 여부,엘리베이터_에스컬레이터_보유여부,고객지원센터 보유 여부,스프링쿨러 보유 여부,화재감지기 보유여부,유아놀이방_보유여부,종합콜센터_보유여부,고객휴게실_보유여부,수유센터_보유여부,물품보관함_보유여부,자전거보관함_보유여부,체육시설_보유여부,간이 도서관_보유여부,쇼핑카트_보유여부,외국인 안내센터_보유여부,고객동선통로_보유여부,방송센터_보유여부,문화교실_보유여부,공동물류창고_보유여부,시장전용 고객주차장_보유여부,교육장_보유여부,회의실_보유여부,자동심장충격기_보유여부
a02010014,신설종합시장,전통시장,서울특별시 종로구 숭인동 206-9 신설종합시장,서울특별시 종로구 난계로27길 51,서울,종로구,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
a02010001,광장시장,전통시장,서울특별시 종로구 예지동 2-1,서울특별시 종로구 창경궁로 88,서울,종로구,Y,,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N
a02010015,종로신진시장,전통시장,서울특별시 종로구 종로5가 225-21,서울특별시 종로구 종로38길 16,서울,종로구,Y,,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y
a02010021,한일상가,전통시장,서울특별시 종로구 종로5가 314-7 청오가방도매상가,서울특별시 종로구 청계천로 229 종로5가,서울,종로구,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a02010006,동대문종합시장,전통시장,서울특별시 종로구 종로6가 289-3 동대,서울특별시 종로구 종로 266 동대문종합시장,서울,종로구,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y
a02010007,동대문종합시장D동상가,전통시장,서울특별시 종로구 종로6가 262-1 동대문종합시장디동,서울특별시 종로구 종로266종합시장디동,서울,종로구,N,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,Y
a02010023,동대문종합시장 신관(동대문쇼핑타운),전통시장,서울특별시 종로구 종로 266 동대문종합시장 신관지하1층81호,서울특별시 종로구 종로 272 종로6가,서울,종로구,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N
a02010011,동문시장㈜,전통시장,서울특별시 종로구 창신동 436-41 동문상가,서울특별시 종로구 종로44길 14,서울,종로구,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
a02010017,통인시장,전통시장,서울특별시 종로구 통인동 10-3,서울특별시 종로구 자하문로 15길 18,서울,종로구,Y,,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,N
a02020008,남대문시장,전통시장,서울특별시 중구 남창동 49-1 일대,서울특별시 중구 남대문시장4길 21 일대,서울,중구,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,N
a02020010,숭례문수입상가,전통시장,서울특별시 중구 남창동 51-1 롯데손해보험빌딩,서울특별시 중구 소월로 3,서울,중구,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N
a02020012,삼익패션타운,전통시장,서울특별시 중구 남창동 5 삼익패션타운,서울특별시 중구 남대문시장 8길 7 삼익패션타운,서울,중구,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N
b02020008,대림상가,전통시장,서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,서울,중구,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N
a02020025,청계상가,전통시장,서울특별시 중구 산림동 207-1,서울특별시 중구 청계천로 160,서울,중구,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N
a02020003,광희패션몰,전통시장,서울특별시 중구 신당동 777 광희시장,서울특별시 중구 마장로1길 21,서울,중구,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y
a02020004,남평화시장,전통시장,서울특별시 중구 신당동 772 남평화시장,서울특별시 중구 장충단로 282-10 신당동,서울,중구,N,N,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N
a02020005,동평화시장,전통시장,서울특별시 중구 신당동 217-92 동평화의류상가,서울특별시 중구 청계천로 318 동평화시장 7층,서울,중구,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N
a02020011,신평화패션타운,전통시장,서울특별시 중구 신당동 217-1 신평화상가,서울특별시 중구 청계천로 298 신당동,서울,중구,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N
a02020013,벨포스트,전통시장,서울특별시 중구 신당동 776,서울특별시 중구 마장로 19 신당동,서울,중구,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N
a02020015,제일평화시장,전통시장,서울특별시 중구 신당동 775 제일평화시장,서울특별시 중구 마장로 13 신당동,서울,중구,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y
a02020017,청평화시장,전통시장,서울특별시 중구 신당동 217-91 청평화시장,서울특별시 중구 청계천로 334 신당동,서울,중구,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,N
